iter	Passed	Remaining
816	1553	348
817	1555	346
818	1557	344
819	1559	342
820	1560	340
821	1563	338
822	1564	336
823	1566	334
824	1568	332
825	1570	330
826	1572	328
827	1574	326
828	1576	325
829	1578	323
830	1580	321
831	1582	319
832	1584	317
833	1585	315
834	1587	313
835	1589	311
836	1591	309
837	1593	308
838	1595	306
839	1597	304
840	1599	302
841	1601	300
842	1602	298
843	1605	296
844	1607	294
845	1609	292
846	1612	291
847	1614	289
848	1615	287
849	1617	285
850	1619	283
851	1621	281
852	1623	279
853	1625	277
854	1627	276
855	1629	274
856	1630	272
857	1632	270
858	1634	268
859	1637	266
860	1639	264
861	1642	262
862	1644	261
863	1646	259
864	1648	257
865	1650	255
866	1652	253
867	1654	251
868	1655	249
869	1657	247
870	1658	245
871	1660	243
872	1662	241
873	1664	239
874	1666	238
875	1668	236
876	1670	234
877	1672	232
878	1674	230
879	1676	228
880	1678	226
881	1680	224
882	1682	222
883	1683	220
884	1685	218
885	1687	217
886	1689	215
887	1692	213
888	1693	211
889	1695	209
890	1697	207
891	1699	205
892	1701	203
893	1703	202
894	1705	200
895	1706	198
896	1707	196
897	1709	194
898	1710	192
899	1711	190
900	1713	188
901	1714	186
902	1716	184
903	1717	182
904	1719	180
905	1721	178
906	1723	176
907	1724	174
908	1726	172
909	1727	170
910	1729	168
911	1730	166
912	1731	165
913	1733	163
914	1735	161
915	1737	159
916	1739	157
917	1741	155
918	1742	153
919	1744	151
920	1746	149
921	1748	147
922	1749	145
923	1751	144
924	1753	142
925	1755	140
926	1757	138
927	1758	136
928	1760	134
929	1762	132
930	1764	130
931	1767	128
932	1768	127
933	1770	125
934	1772	123
935	1774	121
936	1776	119
937	1778	117
938	1780	115
939	1781	113
940	1783	111
941	1785	109
942	1786	108
943	1788	106
944	1790	104
945	1792	102
946	1794	100
947	1795	98
948	1797	96
949	1799	94
950	1800	92
951	1801	90
952	1803	88
953	1804	87
954	1805	85
955	1806	83
956	1808	81
957	1809	79
958	1810	77
959	1812	75
960	1813	73
961	1814	71
962	1816	69
963	1817	67
964	1818	65
965	1820	64
966	1821	62
967	1823	60
968	1825	58
969	1826	56
970	1828	54
971	1830	52
972	1832	50
973	1833	48
974	1835	47
975	1837	45
976	1838	43
977	1840	41
978	1841	39
979	1843	37
980	1844	35
981	1846	33
982	1848	31
983	1850	30
984	1851	28
985	1853	26
986	1855	24
987	1856	22
988	1857	20
989	1860	18
990	1862	16
991	1863	15
992	1865	13
993	1866	11
994	1868	9
995	1870	7
996	1872	5
997	1873	3
998	1876	1
999	1877	0
